# Total Pointers Found: 274
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 274
# Raw pointer hits: 7
------------------------------------------------------------------------------------------------------------------------
400018 | LOAD | 40105B | start | function_pointer | function_start
400050 | LOAD | 400000 | dword_400000 | data_pointer | data_item_size=4
400088 | LOAD | 401000 | _init_proc | function_pointer | function_start
4000C0 | LOAD | 409000 | unk_409000 | unknown_pointer | 
4000F8 | LOAD | 411FA0 | off_411FA0 | data_pointer | data_item_size=8
400130 | LOAD | 4001C8 | dword_4001C8 | data_pointer | data_item_size=4
4001A0 | LOAD | 411FA0 | off_411FA0 | data_pointer | data_item_size=8
401077 | .text | 40859C | _term_proc | function_pointer | function_start
401081 | .text | 401000 | _init_proc | function_pointer | function_start
401088 | .text | 401180 | qword_401180 | data_pointer | data_item_size=3040
4010A0 | .text | 412210 | unk_412210 | unknown_pointer | 
4010A5 | .text | 412210 | unk_412210 | unknown_pointer | 
4010B9 | .text | 412210 | unk_412210 | unknown_pointer | 
4010D0 | .text | 412210 | unk_412210 | unknown_pointer | 
4010D5 | .text | 412210 | unk_412210 | unknown_pointer | 
4010FB | .text | 412210 | unk_412210 | unknown_pointer | 
401110 | .text | 412220 | byte_412220 | data_pointer | data_item_size=1
401122 | .text | 411FF0 | qword_411FF0 | import_pointer | import_entry
40112C | .text | 410EE0 | unk_410EE0 | unknown_pointer | 
401137 | .text | 412220 | byte_412220 | data_pointer | data_item_size=1
401D7C | .text | 413508 | unk_413508 | unknown_pointer | 
401DA1 | .text | 4128A8 | qword_4128A8 | data_pointer | data_item_size=8
401DE5 | .text | 412888 | qword_412888 | data_pointer | data_item_size=8
401DF9 | .text | 412870 | qword_412870 | data_pointer | data_item_size=8
401E05 | .text | 4128D0 | qword_4128D0 | data_pointer | data_item_size=8
401E11 | .text | 412878 | unk_412878 | unknown_pointer | 
401E18 | .text | 412880 | unk_412880 | unknown_pointer | 
401E33 | .text | 41019A | unknown | unknown_pointer | 
401EDF | .text | 410140 | aDevNull | string_pointer | "/dev/null"
401F2E | .text | 4128A2 | byte_4128A2 | data_pointer | data_item_size=1
401F48 | .text | 411FA0 | off_411FA0 | data_pointer | data_item_size=8
401F4F | .text | 411FA8 | off_411FA8 | data_pointer | data_item_size=8
401FBD | .text | 401F6A | sub_401F6A | function_pointer | function_start
401FDD | .text | 411FB0 | off_411FB0 | data_pointer | data_item_size=8
401FE4 | .text | 411FA8 | off_411FA8 | data_pointer | data_item_size=8
402687 | .text | 412928 | dword_412928 | data_pointer | data_item_size=4
402691 | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
4026BB | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
4026E2 | .text | 4128A0 | byte_4128A0 | data_pointer | data_item_size=1
402735 | .text | 4128A0 | byte_4128A0 | data_pointer | data_item_size=1
40273E | .text | 412928 | dword_412928 | data_pointer | data_item_size=4
40274D | .text | 412920 | qword_412920 | data_pointer | data_item_size=8
402759 | .text | 412940 | qword_412940 | data_pointer | data_item_size=8
402765 | .text | 412938 | qword_412938 | data_pointer | data_item_size=8
402770 | .text | 412940 | qword_412940 | data_pointer | data_item_size=8
40277F | .text | 412938 | qword_412938 | data_pointer | data_item_size=8
40278F | .text | 412948 | brk | data_pointer | data_item_size=8
40279E | .text | 412968 | qword_412968 | data_pointer | data_item_size=8
4027BC | .text | 412948 | brk | data_pointer | data_item_size=8
4027C3 | .text | 412968 | qword_412968 | data_pointer | data_item_size=8
4027CA | .text | 412960 | qword_412960 | data_pointer | data_item_size=8
4027DE | .text | 412920 | qword_412920 | data_pointer | data_item_size=8
4027E5 | .text | 412960 | qword_412960 | data_pointer | data_item_size=8
4027EF | .text | 412960 | qword_412960 | data_pointer | data_item_size=8
4027FD | .text | 412960 | qword_412960 | data_pointer | data_item_size=8
402812 | .text | 412CB8 | qword_412CB8 | data_pointer | data_item_size=8
402842 | .text | 412948 | brk | data_pointer | data_item_size=8
402849 | .text | 412CB8 | qword_412CB8 | data_pointer | data_item_size=8
40285D | .text | 412950 | qword_412950 | data_pointer | data_item_size=8
4028AE | .text | 412950 | qword_412950 | data_pointer | data_item_size=8
4028B6 | .text | 412968 | qword_412968 | data_pointer | data_item_size=8
4028C1 | .text | 412948 | brk | data_pointer | data_item_size=8
4028FE | .text | 412CB8 | qword_412CB8 | data_pointer | data_item_size=8
402923 | .text | 412CB8 | qword_412CB8 | data_pointer | data_item_size=8
402934 | .text | 412CB8 | qword_412CB8 | data_pointer | data_item_size=8
402981 | .text | 412948 | brk | data_pointer | data_item_size=8
40298D | .text | 412958 | qword_412958 | data_pointer | data_item_size=8
40299D | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
4029A9 | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
4029C9 | .text | 412920 | qword_412920 | data_pointer | data_item_size=8
402B43 | .text | 410240 | unk_410240 | unknown_pointer | 
402BEA | .text | 4101E0 | unk_4101E0 | unknown_pointer | 
402C13 | .text | 410200 | unk_410200 | unknown_pointer | 
402CA6 | .text | 412CB0 | byte_412CB0 | data_pointer | data_item_size=1
402D53 | .text | 412CB0 | byte_412CB0 | data_pointer | data_item_size=1
402E0E | .text | 412C70 | unk_412C70 | unknown_pointer | 
402F5D | .text | 41292C | dword_41292C | data_pointer | data_item_size=4
403045 | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
40305E | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
4030A6 | .text | 4101E0 | unk_4101E0 | unknown_pointer | 
403166 | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
40319A | .text | 412930 | qword_412930 | data_pointer | data_item_size=8
403234 | .text | 41292C | dword_41292C | data_pointer | data_item_size=4
403304 | .text | 410240 | unk_410240 | unknown_pointer | 
403352 | .text | 410210 | unk_410210 | unknown_pointer | 
403416 | .text | 4101E0 | unk_4101E0 | unknown_pointer | 
40342A | .text | 410240 | unk_410240 | unknown_pointer | 
40346A | .text | 4128A3 | byte_4128A3 | data_pointer | data_item_size=1
403471 | .text | 412CC0 | unk_412CC0 | unknown_pointer | 
403480 | .text | 412920 | qword_412920 | data_pointer | data_item_size=8
403508 | .text | 41292C | dword_41292C | data_pointer | data_item_size=4
403557 | .text | 4128A3 | byte_4128A3 | data_pointer | data_item_size=1
40355E | .text | 412CC0 | unk_412CC0 | unknown_pointer | 
403569 | .text | 412CB0 | byte_412CB0 | data_pointer | data_item_size=1
403577 | .text | 412CB0 | byte_412CB0 | data_pointer | data_item_size=1
4035C1 | .text | 41292C | dword_41292C | data_pointer | data_item_size=4
4035CA | .text | 41292C | dword_41292C | data_pointer | data_item_size=4
4035DF | .text | 412C70 | unk_412C70 | unknown_pointer | 
403671 | .text | 41292C | dword_41292C | data_pointer | data_item_size=4
40367E | .text | 4101E0 | unk_4101E0 | unknown_pointer | 
4036D5 | .text | 410240 | unk_410240 | unknown_pointer | 
403B48 | .text | 412108 | off_412108 | data_pointer | data_item_size=8
403B56 | .text | 412108 | off_412108 | data_pointer | data_item_size=8
403B64 | .text | 412CC8 | qword_412CC8 | data_pointer | data_item_size=8
403B70 | .text | 412CC8 | qword_412CC8 | data_pointer | data_item_size=8
403C26 | .text | 41014A | aRwa | string_pointer | "rwa"
403CE3 | .text | 412CD0 | uaddr | data_pointer | data_item_size=4
403CEF | .text | 412CD8 | unk_412CD8 | unknown_pointer | 
403CFB | .text | 412CD0 | uaddr | data_pointer | data_item_size=4
403D7F | .text | 412120 | unk_412120 | unknown_pointer | 
403DAA | .text | 4121AC | dword_4121AC | data_pointer | data_item_size=4
403DB4 | .text | 412120 | unk_412120 | unknown_pointer | 
403DCB | .text | 4121B0 | dword_4121B0 | data_pointer | data_item_size=4
403DD4 | .text | 412148 | qword_412148 | data_pointer | data_item_size=8
403DDB | .text | 412140 | qword_412140 | data_pointer | data_item_size=8
403DE8 | .text | 412148 | qword_412148 | data_pointer | data_item_size=8
403E03 | .text | 412120 | unk_412120 | unknown_pointer | 
403E14 | .text | 412120 | unk_412120 | unknown_pointer | 
403E32 | .text | 412120 | unk_412120 | unknown_pointer | 
403E43 | .text | 412120 | unk_412120 | unknown_pointer | 
403E65 | .text | 4102A0 | jpt_403E73 | data_pointer | data_item_size=72
403E6C | .text | 4102A0 | jpt_403E73 | data_pointer | data_item_size=72
